Unnamed: 0,Trek,Cost,Time,Trip Grade,Max Altitude,Accomodation,Best Travel Time,Date of Travel,Sex,Age,Employment Type,GraduateOrNot,AnnualIncome,FrequentFlyer,Year,Regional code,Country,Fitness Level,Weather Conditions,Trekking Group Size,Guide/No Guide,Equipment Used,Purpose of Travel,Health Incidents,Review/Satisfaction
284,Tsum Valley and Manaslu Trek  ," $1,499  USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/16/2021,Female,28,Private Sector/Self Employed,Yes,750000,No,2016,3560,India,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
285,Khopra Ridge Community Trek  ," $1,499  USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/19/2023,Non-Binary,33,Private Sector/Self Employed,Yes,750000,No,2016,3600,Indonesia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
286,Nepal Experience Tour  ," $1,499  USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/20/2022,Non-Binary,28,Private Sector/Self Employed,Yes,600000,No,2016,3640,Iran,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
287,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499  USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/26/2022,Female,29,Private Sector/Self Employed,Yes,1200000,No,2016,3680,Iraq,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
288,Annapurna With Tilicho Lake Trek  ," $1,499  USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/9/2020,Male,29,Private Sector/Self Employed,Yes,1100000,No,2016,3720,Ireland,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
289,Langtang Valley Trek with Ganja la Pass  ," $1,499  USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/25/2021,Non-Binary,26,Private Sector/Self Employed,Yes,500000,No,2016,3760,Israel,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
290,Tamang Heritage Trek  ," $1,499  USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/17/2023,Non-Binary,32,Government Sector,Yes,900000,No,2016,3800,Italy,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
291,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499  USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/18/2020,Transgender,34,Private Sector/Self Employed,Yes,1300000,Yes,2016,3840,Court Jiboire,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
292,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499  USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/18/2022,Female,27,Government Sector,Yes,850000,No,2016,3880,Jamaica,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
293,Nepal Hiking and Culture Tour  ," $1,499  USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/23/2021,Male,31,Private Sector/Self Employed,Yes,1250000,No,2016,3980,Kazakhstan,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
294,Annapurna Sunrise and Everest View Trek  ," $1,499  USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/14/2020,Male,29,Private Sector/Self Employed,Yes,1200000,No,2016,4000,Jordan,,,,,,,,
295,Tenzing Hillary Everest Marathon  ," $1,499  USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/30/2020,Non-Binary,28,Private Sector/Self Employed,Yes,550000,No,2016,4040,Kenya,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
296,Everest Base Camp Trek,$1450  USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/22/2020,Female,32,Government Sector,Yes,350000,No,2016,4080,north korea,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
297,Everest Kalapathar Trekking,$1390  USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/17/2022,Transgender,35,Private Sector/Self Employed,No,800000,No,2016,4100,South Korea,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
298,Everest Panorama Trek,$1040  USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,10/11/2020,Female,25,Private Sector/Self Employed,No,1700000,Yes,2016,4140,Kuwait,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
299,Everest Base Camp Trek via Gokyo Lake,$1530  USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/7/2021,Female,27,Private Sector/Self Employed,No,450000,No,2016,4170,Kyrgyzstan,,,,,,,,
300,Gokyo Lake Trek,$1190  USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/17/2020,Non-Binary,32,Government Sector,Yes,900000,No,2016,4180,Laos,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
301,Everest Base Camp Heli Trek,$3600  USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/17/2022,Female,27,Government Sector,Yes,850000,No,2016,4220,Lebanon,,,,,,,,
302,Annapurna Circuit Trek,$1100  USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/10/2021,Female,34,Private Sector/Self Employed,Yes,700000,No,2016,4260,Lesot,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
303,Annapurna Base Camp Trek,$1090  USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/21/2023,Male,31,Government Sector,No,300000,No,2016,4280,Latvia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
304,Ghorepani Poon Hill Trek,$450  USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/21/2022,Non-Binary,34,Private Sector/Self Employed,Yes,1050000,No,2016,4300,Liberia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
305,Upper Mustang Trek,$2100  USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,4/8/2022,Transgender,26,Private Sector/Self Employed,Yes,1250000,No,2016,4340,Libya,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
306,Mardi Himal Trek,$590  USD,9 Days,Easy-Moderate,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/5/2023,Female,33,Government Sector,Yes,650000,No,2016,4380,Liechtenstein,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
307,Langtang Valley Trekking,$690  USD,11 Days,Moderate,"4,773m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/11/2023,Transgender,28,Private Sector/Self Employed,Yes,1150000,No,2016,4400,Lithuania,,,,,,,,
308,Manaslu Circuit Trek,$1190  USD,17 Days,Moderate-Hard,"5,220m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/12/2023,Female,34,Private Sector/Self Employed,Yes,1000000,No,2016,4420,Luxembourg,,,,,,,,
309,Annapurna Base Camp Trek,"
$1,090 USD", 14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,5/10/2021,Non-Binary,33,Government Sector,Yes,650000,No,2016,4460,Macau,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
310,Annapurna Base Camp Short Trek,"
$1,090 USD", 11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,10/4/2020,Female,30,Private Sector/Self Employed,No,550000,No,2016,4461,Macau travel certificate,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
311,Instant Annapurna Base Camp Trek,"
$980 USD", 9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,12/18/2022,Transgender,34,Private Sector/Self Employed,Yes,1500000,Yes,2016,4500,Madagascar,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
312,Annapurna Base Camp Heli Trek,"
$1,750 USD", 9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,6/24/2022,Non-Binary,32,Government Sector,Yes,850000,No,2016,4540,Malawi,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
313,Mardi Himal Trek,"
$850 USD", 9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,1/28/2020,Male,25,Private Sector/Self Employed,No,1150000,No,2016,4580,Malaysia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
314,Mardi Himal Trekking,"
$850 USD", 8 Days,Easy To Moderate,"4,200 m",Hotel/Guesthouse,March-May & Sept-Dec.,1/24/2022,Transgender,26,Private Sector/Self Employed,Yes,1400000,No,2016,4620,Maldives,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
315,Classic Annapurna Circuit Trek,"
$1,350 USD", 18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,8/20/2020,Male,28,Government Sector,Yes,300000,No,2016,4660,Mari,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
316,Annapurna Circuit Trek,"
$1,250 USD", 14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,3/9/2022,Non-Binary,31,Private Sector/Self Employed,Yes,950000,No,2016,4700,Malta,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
317,Annapurna Circuit Short Trek,"
$1,250 USD", 12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,10/2/2022,Male,32,Government Sector,Yes,800000,No,2016,4780,Mauritania,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
318,Annapurna Luxury Trek,"
$1,450 USD", 9 Days,Easy To Moderate,2012m,Hotel/Luxury Lodges,March - May & Setpt - Dec,9/15/2021,Male,34,Government Sector,Yes,1100000,No,2016,4800,Mauritius,,,,,,,,
319,Annapurna Panorama Trek,"
$860 USD", 9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,3/11/2022,Non-Binary,25,Private Sector/Self Employed,Yes,1700000,Yes,2016,4840,Mexico,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
320,Annapurna Tilicho Lake Trek,"
$1,450 USD", 17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,12/12/2020,Transgender,35,Private Sector/Self Employed,No,800000,No,2016,4920,Monaco,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
321,Short Annapurna Trek,"
$590 USD", 5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,9/28/2022,Female,28,Private Sector/Self Employed,Yes,500000,No,2016,4960,Mongolia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
322,Manaslu Circuit Trek,"
$1,450 USD", 15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,11/24/2020,Female,28,Private Sector/Self Employed,Yes,750000,No,2016,4980,Moldoba,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
323,Manaslu Circuit Trekking,"
$1,380 USD", 14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,9/18/2021,Male,33,Private Sector/Self Employed,Yes,1400000,No,2016,4990,Montenegro,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
324,Tsum Valley with Manaslu Trek,"
$1,850 USD", 20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,12/4/2020,Male,28,Government Sector,Yes,300000,No,2016,5040,Morocco,,,,,,,,
325,Upper Mustang Trek,"
$2,150 USD", 17 Days,Easy To Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Nov.,2/1/2023,Female,31,Private Sector/Self Employed,Yes,1250000,No,2016,5080,Mozambique,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
326,Upper Mustang Trek with Yara,"
$2,300 USD", 18 Days,Easy To Moderate,4200 m,Hotel/Lodges,March - Nov,2/1/2020,Non-Binary,28,Private Sector/Self Employed,Yes,1150000,No,2016,5120,Oman,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
327,Upper Mustang Tiji Festival Trek,"
$2,150 USD", 18 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Nov,3/30/2021,Non-Binary,34,Government Sector,Yes,1300000,No,2016,5160,Namibia,,,,,,,,
328,Langtang Valley Trek,"
$750 USD", 10 Days,Easy To Moderate,5050 m,Hotel/Teahouse,March-May & Sept-Dec,8/20/2022,Female,34,Private Sector/Self Employed,Yes,700000,Yes,2016,5200,Naure,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
329,Langtang Gosaikunda Trek,"
$1,180 USD", 16 Days,Easy To Moderate,4600m,Hotel/Guesthouse,March - May & Sept - Dec,6/20/2020,Male,28,Private Sector/Self Employed,Yes,1100000,No,2016,5240,Nepal,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
330,Tamang Heritage Trek,"
$920 USD", 14 Days,Easy To Moderate,5050 m,Hotel/Guesthouse,March - May & Sept - Dec,4/26/2020,Male,35,Private Sector/Self Employed,No,800000,No,2016,5280,Netherlands,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
331,Tamang Heritage Trail,"
$750 USD", 8 Days,Easy,2607 m,Teahouses/Lodges,Jan - May & Sept - Dec,11/29/2020,Transgender,33,Private Sector/Self Employed,Yes,550000,No,2016,5480,Vanuatsu,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
332,Helambu Trek,"
$780 USD", 9 Days,Easy,3650 m,Hotel/Guesthouse,Jan - May & Sept- Dec,1/25/2020,Non-Binary,31,Private Sector/Self Employed,Yes,1650000,Yes,2016,5540,new zealand,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
333,Annapurna Base Camp Trek  ," $1,499 USD", 11 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/11/2021,Female,31,Private Sector/Self Employed,Yes,1400000,No,2016,5580,Nicaragua,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
334,Everest Base Camp Trek for Youths  ," $1,750 USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/17/2020,Female,29,Private Sector/Self Employed,Yes,1050000,No,2016,5620,Nigail,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
335,Everest Base Camp Short Trek  ," $1,499 USD", 14 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/10/2021,Male,28,Private Sector/Self Employed,Yes,800000,No,2016,5660,Nigeria,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
336,Everest Base Camp Trek  ," $1,499 USD", 16 Days,Moderate+Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/5/2022,Male,32,Government Sector,Yes,350000,No,2016,5780,Norway,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
337,Annapurna Circuit Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/19/2020,Female,30,Private Sector/Self Employed,No,550000,Yes,2016,5830,Micronesia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
338,Everest Base Camp Luxury Lodge Trek  ," $1,499 USD", 15 Days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/12/2020,Transgender,28,Private Sector/Self Employed,Yes,600000,No,2016,5840,Marshall,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
339,Everest Base Camp Trek via Gokyo Lakes and Cho La Pass  ," $1,499 USD", 18 days,Demanding,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/31/2022,Female,29,Private Sector/Self Employed,Yes,1050000,No,2016,5850,Palao,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
340,Upper Mustang Trek  ," $1,499 USD", 17 Days,Moderate+Demanding,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/29/2021,Male,27,Private Sector/Self Employed,No,800000,No,2016,5860,Pakistan,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
341,Everest Advanced Base Camp Trek from Tibet  ," $1,499 USD", 18 Days,Moderate+Demanding,"6,340m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/28/2023,Transgender,28,Private Sector/Self Employed,Yes,550000,No,2016,5910,Panama,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
342,Gokyo Lakes and Gokyo Ri Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/24/2023,Female,28,Private Sector/Self Employed,Yes,1100000,No,2016,5980,Papua New Guinea,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
343,Mardi Himal Trek  ," $1,499 USD", 10 Days,Moderate,"3,540m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/9/2021,Non-Binary,28,Private Sector/Self Employed,Yes,1250000,No,2016,6000,Paraguay,,,,,,,,
344,Manaslu Circuit Trek  ," $1,499 USD", 18 Days,Demanding,"5,160m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2021,Male,32,Government Sector,Yes,800000,Yes,2016,6040,Peru,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
345,Langtang Valley Trek  ," $1,499 USD", 11 Days,Moderate+Demanding,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/11/2022,Transgender,29,Private Sector/Self Employed,Yes,1200000,No,2016,6080,Philippines,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
346,Annapurna Sanctuary Trek  ," $1,499 USD", 14 Days,Moderate+Demanding,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/22/2023,Female,25,Private Sector/Self Employed,Yes,1800000,Yes,2016,6160,Poland,,,,,,,,
347,Rara Lake Trek  ," $1,499 USD", 15 Days,Moderate,"3,055m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/29/2022,Female,34,Private Sector/Self Employed,Yes,1300000,Yes,2016,6200,Portugal,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
348,Everest High Passes Trek  ," $1,499 USD", 20 Days,Demanding,"5,546m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/26/2020,Transgender,31,Private Sector/Self Employed,Yes,1400000,No,2016,6240,Guinea Visau,,,,,,,,
349,Kanchenjunga Circuit Trek  ," $1,499 USD", 25 Days,Demanding,"5,143m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/4/2022,Female,28,Private Sector/Self Employed,Yes,500000,No,2016,6260,East Timor Democratic Republic,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
350,Everest View Trek  ," $1,499 USD", 12 Days,Light+Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/7/2022,Non-Binary,31,Private Sector/Self Employed,Yes,950000,Yes,2016,6340,Qatar,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
351,Tsum Valley Trek  ," $1,499 USD", 19 Days,Demanding,"6,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,3/6/2022,Female,29,Private Sector/Self Employed,Yes,1200000,Yes,2016,6420,Romania,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
352,The Royal Trek  ," $1,499 USD", 9 Days,Moderate,"1,730m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/21/2020,Non-Binary,31,Private Sector/Self Employed,Yes,1350000,No,2016,6430,Russia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
353,Makalu Base Camp Trek  ," $1,499 USD", 22 Days,Demanding+Challenging,"4,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,7/6/2023,Female,31,Government Sector,No,300000,No,2016,6460,Rwanda,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
354,"Langtang, Gosainkunda and Helambu Trek  "," $1,499 USD", 17 Days,Moderate,"5,000m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/13/2022,Transgender,25,Private Sector/Self Employed,No,1150000,No,2016,6590,St. Christopher Navis,,,,,,,,
355,Nar Phu Valley Trek  ," $1,499 USD", 19 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,6/9/2023,Non-Binary,28,Private Sector/Self Employed,Yes,1400000,No,2016,6620,St. Lucia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
356,Annapurna Circle Trek  ," $1,499 USD", 14 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/6/2023,Male,34,Private Sector/Self Employed,Yes,1000000,No,2016,6700,St. Vincent,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
357,Everest Kangshung Face Trek  ," $1,499 USD", 21 Days,Demanding+Challenging,"5,320m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/18/2023,Transgender,34,Private Sector/Self Employed,Yes,500000,No,2016,6740,Sun Marino,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
358,Tsum Valley and Manaslu Trek  ," $1,499 USD", 27 Days,Demanding,"4,460m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/15/2022,Non-Binary,34,Private Sector/Self Employed,Yes,1000000,Yes,2016,6780,Santa Principa,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
359,Khopra Ridge Community Trek  ," $1,499 USD", 13 Days,Moderate+Demanding,"4,500m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/25/2023,Non-Binary,25,Private Sector/Self Employed,No,1150000,No,2016,6820,Saudi Arabia,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
360,Nepal Experience Tour  ," $1,499 USD", 12 Days,Light,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/10/2023,Female,28,Private Sector/Self Employed,No,550000,No,2016,6860,Senegal,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
361,Annapurna Circuit Trek with Tilicho Lake and Poon Hill  ," $1,499 USD", 20 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/11/2023,Male,29,Private Sector/Self Employed,Yes,1350000,No,2016,6880,Serbia,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
362,Annapurna With Tilicho Lake Trek  ," $1,499 USD", 17 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/1/2022,Male,28,Private Sector/Self Employed,Yes,700000,No,2016,6900,Saechel,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
363,Langtang Valley Trek with Ganja la Pass  ," $1,499 USD", 14 Days,Demanding+Challenging,"5,122m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/4/2021,Female,34,Government Sector,Yes,1300000,No,2016,6940,Sierra Leone,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
364,Tamang Heritage Trek  ," $1,499 USD", 14 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/18/2022,Female,31,Government Sector,Yes,1200000,No,2016,7020,Singapore,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
365,Manaslu and Annapurna Trek with Tilicho Lake  ," $1,499 USD", 25 Days,Demanding,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/3/2023,Transgender,25,Private Sector/Self Employed,No,1700000,Yes,2016,7030,Slovakia,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
366,Nepal Trekking and Everest Himalaya Heli Tour  ," $1,499 USD", 7 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,2/21/2022,Male,28,Government Sector,Yes,300000,No,2016,7040,Vietnam,,,,,,,,
367,Nepal Hiking and Culture Tour  ," $1,499 USD", 8 Days,Moderate,"1,550m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/24/2022,Female,31,Government Sector,Yes,1300000,No,2016,7050,Slovenia,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
368,Annapurna Sunrise and Everest View Trek  ," $1,499 USD", 17 Days,Moderate,"3,870m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/30/2020,Non-Binary,35,Private Sector/Self Employed,No,800000,No,2016,7060,Somalia,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
369,Tenzing Hillary Everest Marathon  ," $1,499 USD", 20 Days,Demanding+Challenging,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/10/2022,Female,32,Government Sector,Yes,800000,No,2016,7100,Republic of South Africa,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
370,Everest Base Camp Trek,$1450 USD,16 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,11/15/2022,Female,31,Government Sector,Yes,1300000,No,2016,7160,Zimbabwe,,,,,,,,
371,Everest Kalapathar Trekking,$1390 USD,15 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/24/2020,Non-Binary,27,Government Sector,Yes,900000,No,2016,7240,Spain,,,,,,,,
372,Everest Panorama Trek,$1040 USD,10 Days,Easy-Moderate,"3,860m",Hotel/Guesthouse,Jan - May & Sept - Dec,5/18/2021,Female,29,Private Sector/Self Employed,Yes,350000,No,2016,7280,South Sudan,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
373,Everest Base Camp Trek via Gokyo Lake,$1530 USD,19 Days,Moderate-Hard,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/18/2020,Non-Binary,28,Private Sector/Self Employed,Yes,900000,Yes,2016,7290,Sudan,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
374,Gokyo Lake Trek,$1190 USD,13 Days,Moderate,"5,357m",Hotel/Guesthouse,Jan - May & Sept - Dec,4/10/2022,Transgender,28,Government Sector,Yes,600000,No,2016,7400,Slinum,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
375,Everest Base Camp Heli Trek,$3600 USD,9 Days,Moderate,"5,545m",Hotel/Guesthouse,Jan - May & Sept - Dec,1/15/2022,Non-Binary,28,Private Sector/Self Employed,Yes,1100000,No,2016,7480,Swaji Land,Intermediate,Clear,10,Guide,Poles,Leisure,None,4.5
376,Annapurna Circuit Trek,$1100 USD,19 Days,Moderate-Hard,"5,416m",Hotel/Guesthouse,Jan - May & Sept - Dec,12/19/2020,Male,31,Government Sector,Yes,1300000,No,2016,7520,Sweden,Beginner,Rainy,8,No Guide,None,Adventure,Altitude Sickness,3
377,Annapurna Base Camp Trek,$1090 USD,16 Days,Moderate,"4,130m",Hotel/Guesthouse,Jan - May & Sept - Dec,9/1/2022,Male,27,Private Sector/Self Employed,No,1550000,Yes,2016,7560,Switzerland,Advanced,Snowy,12,Guide,Oxygen,Charity,None,5
378,Ghorepani Poon Hill Trek,$450 USD,10 Days,Easy,"3,210m",Hotel/Guesthouse,Jan - May & Sept - Dec,8/9/2022,Male,25,Private Sector/Self Employed,Yes,1700000,Yes,2016,7600,Syria,Intermediate,Clear,5,Guide,Poles,Leisure,None,4
379,Upper Mustang Trek,$2100 USD,17 Days,Moderate-Hard,4200m,Hotel/Guesthouse,Jan - May & Sept - Dec,9/9/2022,Female,27,Private Sector/Self Employed,No,1550000,Yes,2016,7620,Tajikistan,Beginner,Cloudy,6,No Guide,None,Adventure,Minor Injury,3.5
